post_link,Profile_Link,profile_headline,likes_count,comments_count,post_content
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6546951311596851200,Prudhvi Potuganti,Data Scientist | Craves to Learn | Loves to Solve | Lives to teach,140,12 Comments,"My style of teaching 'normal' distribution !! Stop comparing. Be normal. When
the heart opens, mind learns. !! Ashi Singhal Ruchi Jaju Ankit Rathi Awantik
Das Amit Choudhary Sachin Tripathi

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6546709861286187008,Vaibhav Sisinty,"Head of Marketing, Klook India | Ex-Uber | LinkedIn Lead Gen Expert | Growth Hacker | Speaker",718,100 Comments,"Facebook has officially announced Libra. A Blockchain based Cryptocurrency.
This is huge, this will potentially change eveything. This would obviously
enable decentralised based system for a upcoming global currency which could
enable everything a bank can without having a bank account and just with
internet and smartphone. Now, not just that FB released a statement that they
already have partnerships with some leading brands all over the world like
Uber, PayPal, Vodafone, ebay Spotify to name some. So when they launch this by
2020 they might have partnerships with almost every app you interact with. But
it will be regulated like other payment services. Indian government just
released a crazy set of rules making Cryptocurrency almost illegal. What do
you think? hashtag#Libra hashtag#Crypocurrency hashtag#Facebook
hashtag#Calibra

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6546611977140137984,Prudhvi Potuganti,Data Scientist | Craves to Learn | Loves to Solve | Lives to teach,265,202 Comments,"So when the domain of Data Science is evolving so rapidly, why are buying
'limited' content courses ? And when you know it takes a lot of perseverance
and time to become a data scientist, why are you buying limited contact hours
with institutes ? These questions bothered me for at least two years and here
I present you ""End to End Data Science Course"". I will support you till you
become a data scientist. I cannot hire husky voice 'counselors' to convince
you to pay lakhs of rupees for 'limited' courses. I am not hiring HR's to get
you 100% placement guarantees. As a mentor, I can assure you, as long as you
don't give up, I will not give up on your dream. !! Fair enough ?? Interested
in personalized mentor based learning ?

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6546005660486774784,Srivatsan Srinivasan,"Chief Data Scientist | Data (Big, Huge, Small, Fast, Whatever) | Cloud | Forever Student",48,6 Comments,"One of the few sensible article. Typically I stay away from teradata view of
Hadoop but few points from this article definitely has merit. I had similar
post few weeks back where I had called out Hadoop failed for few people ->
People who did not know How, when to use it -> People who thought ""One size
fits all"", failed Hadoop. People who thought Hadoop will save them millions
and their reports will be blazing fast You can check my article in first
comment in case if you have not read it already hashtag#hadoop
hashtag#teradata hashtag#opensource hashtag#bigdata hashtag#data
hashtag#cloudera hashtag#mapr hashtag#hortonworks

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6546017160911740928,Prudhvi Potuganti,Data Scientist | Craves to Learn | Loves to Solve | Lives to teach,"1,234","2,893 Comments","So, is Data Science for everyone ? ""1 Million Data Scientists shortage"" ,
""Average pay of 15-20LPA"" Are these your reasons to become a data scientist ?
If yes, please stop. !! You gotta really enjoy the day to day work /life of a
data scientist. Only then you will survive. I have a quiz prepared which will
give you a glimpse of day to day work of a Data Scientist. Not a tech or
coding quiz !! Interested ?? Comment here, I will PM details PS : I reached
out to 150 people who commented last time.

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6545951968496541697,Payal Bhatia,"' Data' Enthusiast, learner, and doer",70,4 Comments,"Few days back , I was dejected and depressed.I usually tell my father
everything. And I started complaining about my life and, the ups and
downs.Many times I crib advertently, because I know he will make my life
simpler with his wisdom. I complained that I am not able to focus for long
time and therefore I am unhappy.I blamed all the external distractions I could
think of starting from phone to not getting ""good"" food , and zillion of
reasons. I was unable to find my problem let alone resolving it. He heard it
patiently. Then, just spoke few words. ""You are suffering from internal
distractions"" Now the solution: "" Kaam Khush hone k liye Karo"" Do your work to
make yourself happy and to create happiness. He is a big fan of Late R.D.
Burman, great Indian Music director.So, my father told me one of his stories.
R.D. Burman was so focussed and took so much pleasure in his work. He used to
mix water in hot served tea if he gets a melody idea. He immediately wants to
work on it. Therefore, to gulp his tea he add water. This story intrigued me.
Simple piece of wisdom hashtag#fathersday hashtag#fathersday2019 Happy
Father's Day, Papa.

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6545104969341689857,Srivatsan Srinivasan,"Chief Data Scientist | Data (Big, Huge, Small, Fast, Whatever) | Cloud | Forever Student",313,22 Comments,"If you think training an neural network, finding the right CNN filter size or
LSTM layers is awesome and trendy. Think Again. Recently published paper by
Google Brain proposes a search method for neural network architectures that
can perform a task without any explicit weight training. Yes you heard it
right, without explicit weight training. The Method ""Weight Agnostic Neural
Network"", uses a single shared weight parameter from a uniform random
distribution and measure the expected performance against random but evolving
network. Just Randomness.. Do not underestimate the act of Randomness :) Below
is how it works (1) An initial population of minimal neural network topologies
is created, (2) each network is evaluated over multiple rollouts, with a
different shared weight value assigned at each rollout (3) networks are ranked
according to their performance and complexity (4) a new population is created
by varying the highest ranked network topologies, chosen probabilistically
through tournament selection Google NAS (Neural Architecture Search) is
another method that many are aware to find Neural Architectures rely on
training architecture and pick one based on best performance You can check
more in paper below in first link hashtag#datascience hashtag#ai
hashtag#google hashtag#automl hashtag#network

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6544087399662739457,Prudhvi Potuganti,Data Scientist | Craves to Learn | Loves to Solve | Lives to teach,667,219 Comments,"It's a proud moment for me today.I couldn't make it to an IIT but today I
could send my student to IIT. One of my student Shravya Chillamcherla has made
it into prestigious IIT Hyderabad - Masters In Data Science Program - a highly
selective program with only 1% acceptance. She joined my End to End Data
Science program and 6 months of mentoring and 100 hours of teaching, didn't go
in vain. In spite of her personal issues and boring professional work, she
never gave up. I never gave up on her even after 4 rounds of screening, we
kept fingers crossed. Proud of you girl :) 1 year of hard work to create the
course is full worth it Thank you Amit Choudhary , Awantik Das Sachin Tripathi
Deepak Murugaian Neeraj Krishnamoorthy and many others who are always with me.
Interested for End to End Data Science course ? Comment or PM me

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6544482333188296704,Abhiram Pothuganti,For L&D & HR Leaders tackling the diverse & rapidly changing learning needs of IT teams,18,20 Comments,"Fundamentally, there are only three motives why people learn - FUN, FEAR and
AMBITION. Now, take this in context within a corporate. Continuous Learning is
going to be the must for employees in very near future to stay relevant. What
is the most effective motive for people to Learn. Is it Fun? Social Learning,
Gamification in Learning Is it Fear? Appraisals, Job Security Is it Ambition?
Promotion, Opportunities If you are taking learning initiatives in your
organization, how are you promoting the learning culture? Share your thoughts,
Let's discuss... hashtag#workplacelearning hashtag#elearning
hashtag#sociallearning hashtag#learningculture hashtag#learninganddevelopment
hashtag#hrprofessionals

"
https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6543893427820560384,Priyanjit Ghosh,I love AI 🔹 Our vision is to democratize the use of AI to help businesses operate efficiently,240,84 Comments,"Vinay Khobragade and the team at hashtag#CodeVector are working on a very
interesting used case for monitoring class activity in hashtag#schools at real
time using hashtag#AI and hashtag#ComputerVision for a client in
hashtag#Raipur (India) If this is just a proof of concept, really excited how
the final product shall be. I feel the application of video analytics are
huge... 1⃣Education ✔ 2⃣Traffic monitoring ✔ 3⃣Retail malls ✔ 4⃣Banks ✔
5⃣Stations/Airports✔ Where else do you guys think does hashtag#AI and
hashtag#VideoAnalytics can play a huge role? Denis Rothman Tarry Singh
Debashis Sen IAS Andriy Burkov 南京大学 Delhi Public School Noida Adam Danyal
Talal Al Murad Leo Grady hashtag#AI hashtag#Schools hashtag#ComputerVision
hashtag#Retail hashtag#Traffic hashtag#Malls hashtag#Technology
hashtag#Chhattisgarh hashtag#CentralIndia hashtag#Banks hashtag#Monitoring

"
